#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2002-01-05, 21:01:54
# Real time (s): 1213075.660
# Live time (s): 1209818.120
#
# Total counts:  221428538
#
# Left marker:  20 (7.086 keV)
# Right marker: 50 (17.695 keV)
# Counts:       4574772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.012663
#     A1: 0.353645
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
520	183.908	107925	0.0892076
521	184.262	107387	0.0887629
522	184.615	107320	0.0887075
523	184.969	106905	0.0883645
524	185.323	107948	0.0892266
525	185.676	109083	0.0901648
526	186.030	109411	0.0904359
527	186.384	108001	0.0892704
528	186.737	107035	0.088472
529	187.091	106166	0.0877537
530	187.445	105236	0.086985
531	187.798	105323	0.0870569
532	188.152	104553	0.0864204
533	188.505	105072	0.0868494
534	188.859	104808	0.0866312
535	189.213	104528	0.0863998
536	189.566	103853	0.0858418
537	189.920	103935	0.0859096
538	190.274	103425	0.0854881
539	190.627	104146	0.086084
540	190.981	103748	0.085755
541	191.335	103272	0.0853616
542	191.688	103260	0.0853517
543	192.042	102617	0.0848202
544	192.396	102932	0.0850806
545	192.749	102650	0.0848475
546	193.103	102283	0.0845441
547	193.456	102108	0.0843995
548	193.810	102189	0.0844664
549	194.164	101595	0.0839754
550	194.517	101432	0.0838407
551	194.871	100858	0.0833663
552	195.225	100908	0.0834076
553	195.578	101102	0.0835679
554	195.932	100556	0.0831166
555	196.286	100427	0.08301
556	196.639	100583	0.0831389
557	196.993	99552	0.0822867
558	197.347	99894	0.0825694
559	197.700	99832	0.0825182
560	198.054	100234	0.0828505
561	198.408	99752	0.0824521
562	198.761	99692	0.0824025
563	199.115	99233	0.0820231
564	199.468	99421	0.0821785
565	199.822	98822	0.0816834
566	200.176	98476	0.0813974
567	200.529	98455	0.08138
568	200.883	98303	0.0812544
569	201.237	98384	0.0813213
570	201.590	98283	0.0812378
571	201.944	98303	0.0812544
572	202.298	98043	0.0810395
573	202.651	96816	0.0800253
574	203.005	97483	0.0805766
575	203.359	97020	0.0801939
576	203.712	97740	0.080789
577	204.066	97353	0.0804691
578	204.419	96948	0.0801344
579	204.773	97040	0.0802104
580	205.127	97160	0.0803096
581	205.480	97096	0.0802567
582	205.834	96580	0.0798302
583	206.188	97245	0.0803799
584	206.541	96577	0.0798277
585	206.895	96127	0.0794557
586	207.249	96122	0.0794516
587	207.602	95942	0.0793028
588	207.956	95981	0.0793351
589	208.310	95345	0.0788094
590	208.663	95997	0.0793483
591	209.017	95671	0.0790788
592	209.371	95780	0.0791689
593	209.724	96132	0.0794599
594	210.078	95946	0.0793061
595	210.431	94929	0.0784655
596	210.785	95624	0.07904
597	211.139	95842	0.0792202
598	211.492	95853	0.0792293
599	211.846	95349	0.0788127
600	212.200	95779	0.0791681
601	212.553	95157	0.078654
602	212.907	95862	0.0792367
603	213.261	96444	0.0797178
604	213.614	96417	0.0796955
605	213.968	95962	0.0793194
606	214.322	96531	0.0797897
607	214.675	96042	0.0793855
608	215.029	96686	0.0799178
609	215.382	97240	0.0803757
610	215.736	97592	0.0806667
611	216.090	98361	0.0813023
612	216.443	98814	0.0816767
613	216.797	99305	0.0820826
614	217.151	99564	0.0822967
615	217.504	100904	0.0834043
616	217.858	101297	0.0837291
617	218.212	102352	0.0846011
618	218.565	103387	0.0854566
619	218.919	104091	0.0860386
620	219.273	104449	0.0863345
621	219.626	105078	0.0868544
622	219.980	104958	0.0867552
623	220.334	105868	0.0875074
624	220.687	105521	0.0872205
625	221.041	106060	0.0876661
626	221.394	106109	0.0877066
627	221.748	106299	0.0878636
628	222.102	106835	0.0883067
629	222.455	106301	0.0878653
630	222.809	106364	0.0879173
631	223.163	106176	0.087762
632	223.516	106590	0.0881042
633	223.870	106740	0.0882281
634	224.224	106585	0.0881
635	224.577	106622	0.0881306
636	224.931	106482	0.0880149
637	225.285	106349	0.0879049
638	225.638	106804	0.088281
639	225.992	106598	0.0881108
640	226.345	106746	0.0882331
641	226.699	106283	0.0878504
642	227.053	106534	0.0880579
643	227.406	105944	0.0875702
644	227.760	106229	0.0878058
645	228.114	106104	0.0877024
646	228.467	105977	0.0875975
647	228.821	106216	0.087795
648	229.175	105816	0.0874644
649	229.528	105384	0.0871073
650	229.882	105249	0.0869957
651	230.236	105164	0.0869255
652	230.589	105124	0.0868924
